R[kpc] vc[km/s] v_error[km/s]
7.919191919191918672e+00 1.105450327629183249e+02 5.000000000000000000e+00
8.060606060606060552e+00 1.107326928817509781e+02 5.000000000000000000e+00
8.202020202020202433e+00 1.134277779154487007e+02 5.000000000000000000e+00
8.343434343434342537e+00 1.240941012102801864e+02 5.000000000000000000e+00
8.484848484848484418e+00 1.037340231451081252e+02 5.000000000000000000e+00
8.626262626262626299e+00 1.192972708427668493e+02 5.000000000000000000e+00
8.767676767676768179e+00 1.126241516492339514e+02 5.000000000000000000e+00
8.909090909090908283e+00 1.058411465119333883e+02 5.000000000000000000e+00
9.050505050505050164e+00 1.181190141805695504e+02 5.000000000000000000e+00
9.191919191919192045e+00 1.126839223325260093e+02 5.000000000000000000e+00
9.333333333333332149e+00 1.167715033919368608e+02 5.000000000000000000e+00
9.474747474747474030e+00 1.149545684786503728e+02 5.000000000000000000e+00
9.616161616161615910e+00 1.095984730461632068e+02 5.000000000000000000e+00
9.757575757575757791e+00 1.130720269492459522e+02 5.000000000000000000e+00
9.898989898989897895e+00 1.202080072906015999e+02 5.000000000000000000e+00
1.004040404040403978e+01 1.108303102272120242e+02 5.000000000000000000e+00
1.018181818181818166e+01 1.108695984260708798e+02 5.000000000000000000e+00
1.032323232323232354e+01 1.085907412829704413e+02 5.000000000000000000e+00
1.046464646464646364e+01 1.176199470963430969e+02 5.000000000000000000e+00
1.060606060606060552e+01 1.210538869494028802e+02 5.000000000000000000e+00
1.074747474747474740e+01 1.181952163847451942e+02 5.000000000000000000e+00
1.088888888888888928e+01 1.090386131547082869e+02 5.000000000000000000e+00
1.103030303030302939e+01 1.134811906802200951e+02 5.000000000000000000e+00
1.117171717171717127e+01 1.162738514544902273e+02 5.000000000000000000e+00
1.131313131313131315e+01 1.223789176152014448e+02 5.000000000000000000e+00
1.145454545454545325e+01 1.211579457717728161e+02 5.000000000000000000e+00
1.159595959595959513e+01 1.236860047841246626e+02 5.000000000000000000e+00
1.173737373737373701e+01 1.168851382689082783e+02 5.000000000000000000e+00
1.187878787878787890e+01 1.218142637706358045e+02 5.000000000000000000e+00
1.202020202020201900e+01 1.173641211452256954e+02 5.000000000000000000e+00
1.216161616161616088e+01 1.145901210626454230e+02 5.000000000000000000e+00
1.230303030303030276e+01 1.242069735883816293e+02 5.000000000000000000e+00
1.244444444444444464e+01 1.150154834877923093e+02 5.000000000000000000e+00
1.258585858585858475e+01 1.194400158332869921e+02 5.000000000000000000e+00
1.272727272727272663e+01 1.078048930056198600e+02 5.000000000000000000e+00
1.286868686868686851e+01 1.197291411349435606e+02 5.000000000000000000e+00
1.301010101010101039e+01 1.191574660144435853e+02 5.000000000000000000e+00
1.315151515151515049e+01 1.314959117410005831e+02 5.000000000000000000e+00
1.329292929292929237e+01 1.090786674190799488e+02 5.000000000000000000e+00
1.343434343434343425e+01 1.158054744996617558e+02 5.000000000000000000e+00
1.357575757575757436e+01 1.257665409727055561e+02 5.000000000000000000e+00
1.371717171717171624e+01 1.172361847393930958e+02 5.000000000000000000e+00
1.385858585858585812e+01 1.166029377787662185e+02 5.000000000000000000e+00
1.400000000000000000e+01 1.173168971738556223e+02 5.000000000000000000e+00
